Issue ID,Category,Severity,CVSS Score,Title,Description,File,Line,CWE,Recommendation,Estimated Fix Time,Priority,Status,Compliance Impact
SEC-001,Secrets,CRITICAL,9.8,Supabase Service Role Key Exposed,Service role key bypasses all Row Level Security policies,.env.local,4,CWE-798,Rotate key immediately in Supabase dashboard; audit database logs; never commit this key,30 minutes,1,Open,SOC 2 CC6.1 FAIL
SEC-002,Secrets,CRITICAL,8.5,NextAuth Secret Exposed,Exposed secret allows session hijacking and token forgery,.env.local,12,CWE-798,Generate new secret (openssl rand -base64 32); update production; invalidate sessions,30 minutes,1,Open,SOC 2 CC6.1 FAIL
SEC-003,Secrets,CRITICAL,8.0,Supabase Access Token Exposed,Personal access token grants management API access,.env.local,34,CWE-798,Revoke token in Supabase dashboard; generate new token; review access logs,20 minutes,1,Open,SOC 2 CC6.1 FAIL
SEC-004,Secrets,HIGH,6.5,Supabase Anon Key Exposed,Production anon key committed to filesystem,.env.local,3,CWE-522,Rotate key; ensure .env.local never committed,15 minutes,1,Open,SOC 2 CC6.1 FAIL
SEC-005,Security,HIGH,7.0,CORS Wildcard Origin Allowed,CORS allows all origins (*) if ALLOWED_ORIGINS not set,src/lib/middleware/auth.ts,255,CWE-942,Set explicit ALLOWED_ORIGINS; never use wildcard in production,30 minutes,1,Open,SOC 2 CC6.6 FAIL
SEC-006,Security,HIGH,7.5,Rate Limiting Not Applied,Middleware exists but not used on any API routes,src/lib/middleware/auth.ts,86,CWE-307,Apply withAuth to all routes; use Redis for production,4 hours,1,Open,SOC 2 CC6.6 FAIL
SEC-007,Security,MEDIUM,4.3,Open Redirect Vulnerability,Unvalidated redirect_to parameter in auth callback,src/app/(auth)/callback/page.tsx,113,CWE-601,Validate redirect_to against allowlist,1 hour,2,Open,SOC 2 CC6.6 PARTIAL
SEC-008,Security,HIGH,6.5,Missing Content-Security-Policy Header,No CSP header configured to prevent XSS attacks,middleware.ts,N/A,CWE-693,Add CSP header to middleware,2 hours,1,Open,SOC 2 CC6.7 FAIL
SEC-009,Security,HIGH,5.0,Missing HSTS Header,No Strict-Transport-Security header to enforce HTTPS,middleware.ts,N/A,CWE-319,Add HSTS header with max-age=31536000,30 minutes,1,Open,SOC 2 CC6.7 FAIL
SEC-010,Security,LOW,2.0,Information Disclosure in Health Endpoint,Exposes NODE_ENV environment variable,src/app/api/health/route.ts,8,CWE-200,Remove environment information in production,15 minutes,4,Open,SOC 2 CC6.6 MINOR
DEP-001,Dependencies,MEDIUM,5.3,CVE-2025-62522 Vite Vulnerability,Files denied by server.fs.deny sent if URL ends with backslash on Windows,package.json (vite),N/A,CWE-22,Update vite to 7.1.11,10 minutes,2,Open,SOC 2 CC7.1 PARTIAL
DEP-002,Dependencies,MEDIUM,N/A,pdfjs-dist 147 versions behind,PDF parsing library significantly outdated (5.4.149 → 5.4.296),package.json,N/A,N/A,Update to 5.4.296; test PDF parsing thoroughly,2 hours,2,Open,SOC 2 CC7.1 PARTIAL
DEP-003,Dependencies,LOW,N/A,@types/uuid deprecated,Package no longer needed since uuid includes types,package.json,N/A,N/A,Remove @types/uuid from dependencies,5 minutes,3,Open,SOC 2 CC7.1 MINOR
DEP-004,Dependencies,MEDIUM,N/A,31 Outdated Packages,Multiple packages behind latest versions,package.json,N/A,N/A,Update packages using provided script,2 hours,3,Open,SOC 2 CC7.1 PARTIAL
QUAL-001,Code Quality,HIGH,5.4,XSS Vulnerability in Export Utility,innerHTML used without sanitization in print functionality,src/lib/utils/export-utils.ts,294,CWE-79,Sanitize HTML with DOMPurify or use DOM manipulation,1 hour,1,Open,SOC 2 CC6.1 FAIL
QUAL-002,Code Quality,MEDIUM,N/A,673 Console Statements,Excessive console logging causes performance degradation and data leakage,Multiple files,N/A,N/A,Replace with structured logger from lib/utils/logger.ts,4-6 hours,2,Open,SOC 2 CC8.1 PARTIAL
